"place_id","name","latitude","longitude","people","fieldtrips__fieldtrip_id____001","fieldtrips__fieldtrip_id____002","fieldtrips__fieldtrip_id____003","fieldtrips__fieldtrip_id____004","fieldtrips__fieldtrip_id____005","fieldtrips__fieldtrip_id____006","fieldtrips__fieldtrip_id____007","people__person__person_id","people__person__relationship","people__person__full_name","people__person__last_name","people__person__first_name","people__person__gender","people__person__core_informant","people__person__image","people__person__url","people__person__residence_place","people__person__residence_place__place_id","people__person__residence_place__name","fieldtrips","fieldtrips__fieldtrip_id"
"1","Aaby","57.1652","9.74127","","","","","","","","","348","told stories here","Student Nikolaj Christensen","Christensen","Nikolaj","N/A","null","","data/informants/348.dfl","","1","Aaby","","11"
"2","Aagaard","55.5894","9.41408","null","","","","","","","","","","","","","","","","","","","","","9"
"4","Aalborg","57.0502","9.92384","null","","","","","","","","","","","","","","","","","","","","","11"
"3","Aalbæk","57.5955","10.4132","null","","","","","","","","","","","","","","","","","","","","","11"
"5","Aale","55.8863","9.56231","null","","","","","","","","","","","","","","","","","","","","","9"
"6","Aalsø","56.3721","10.8522","null","","","","","","","","","","","","","","","","","","","","","3"
"7","Aarestrup","56.8217","9.74733","null","1","6","5","","","","","","","","","","","","","","","","","",""
"8","Aarhus","56.159","10.2072","","9","7","10","3","4","","","431","told stories here","Ane Marie Kristensdatter","Kristensdatter","Ane Marie","N/A","null","","data/informants/431.dfl","","8","Aarhus","",""
"9","Aarslev","56.4011","10.1499","null","","","","","","","","","","","","","","","","","","","","","7"
"10","Aasted","57.4348","10.3768","null","","","","","","","","","","","","","","","","","","","","","8"
"737","Abildgård, Navtrup","56.7444","8.90908","","","","","","","","","508","told stories here","Else Marie Pedersdatter","Pedersdatter","Else Marie","N/A","null","","data/informants/508.dfl","","737","Abildgård, Navtrup","null",""
"1020","Addit","56.0407","9.61493","null","","","","","","","","","","","","","","","","","","","","null",""
"1061","Adslev","56.0997","9.99651","null","","","","","","","","","","","","","","","","","","","","null",""
"738","Agerskov, Bording","56.1452","9.2799","","","","","","","","","429","told stories here","Frederik Knudsen","Knudsen","Frederik","N/A","null","","data/informants/429.dfl","","738","Agerskov, Bording","null",""
"992","Aggersborggård","56.9978","9.25655","null","","","","","","","","","","","","","","","","","","","","null",""
"15","Aggersbøl","55.7974","9.64535","null","","","","","","","","","","","","","","","","","","","","null",""
"16","Agri","56.2311","10.5237","null","","","","","","","","","","","","","","","","","","","","","7"
"18","Ajstrup","57.1763","9.98349","null","","","","","","","","","","","","","","","","","","","","","11"
"20","Albæk","57.2336","10.4234","","","","","","","","","57","told stories here","Kirsten Marie Frederiksdatter","Frederiksdatter","Kirsten Marie","f","null","","data/informants/57.dfl","","20","Albæk","","11"
"21","Aldal","56.8096","9.80168","null","","","","","","","","","","","","","","","","","","","","null",""
"22","Alken","56.0536","9.84777","","","","","","","","","130","told stories here","Søren Jørgensen","Jørgensen","Søren","m","null","","data/informants/130.dfl","","768","Engesvang","","2"
"741","Allerup, Varde","55.4478","8.61389","","","","","","","","","516","told stories here","Mathias Pedersen","Pedersen","Mathias","N/A","null","","data/informants/516.dfl","","741","Allerup, Varde","null",""
"23","Alling","56.1143","9.73293","null","","","","","","","","","","","","","","","","","","","","null",""
