"place_id","name","display_name","latitude","longitude","stories__story__story_id","stories__story__fieldtrip_id","stories__story__publication_info","stories__story__informant__id","stories__story__full_name","stories__story__place_recorded__id"
"368","Lille Arden","Lille Arden: mentioned in 1 story","56.7691","9.91128","3","null","DS_VII_1045","150","150 - 0.03 - DS_VII_1045","147"
"498","Rosenlund bakker","Rosenlund bakker: mentioned in 1 story","56.3283","9.94639","11","1","JFm_X_46e","150","150 - 1.08 - JFm_X_46e","147"
"469","Rebild","Rebild: mentioned in 3 stories","56.8348","9.8502","14","1","Unpub_BJK_111","150","150 - 1.11 - Unpub_BJK_111","147"
"","","","","","21","1","DS_III_127","150","150 - 1.18 - DS_III_127","147"
"","","","","","32","1","JAT_VI_781","150","150 - 1.29 - JAT_VI_781","147"
"147","Ersted","Ersted: mentioned in 14 stories","56.8247","9.77472","16","1","DS_II_E_2","150","150 - 1.13 - DS_II_E_2","147"
"","","","","","26","1","DS_I_553","150","150 - 1.23 - DS_I_553","147"
"","","","","","36","1","DS_III_1873","150","150 - 1.33 - DS_III_1873","147"
"","","","","","49","1","JAH_VI_81","150","150 - 2.02 - JAH_VI_81","147"
"","","","","","56","1","DS_II_C_90","150","150 - 2.09 - DS_II_C_90","147"
"","","","","","66","6","DS_I_576","150","150 - 3.04 - DS_I_576","147"
"","","","","","69","6","JAT_VI_797","150","150 - 3.06 - JAT_VI_797","147"
"","","","","","82","6","JAT_VI_796","150","150 - 3.19 - JAT_VI_796","147"
"","","","","","85","6","JAH_II_358","150","150 - 3.22 - JAH_II_358","147"
"","","","","","89","6","JAH_I_37","150","150 - 3.26 - JAH_I_37","147"
"","","","","","99","6","JAH_II_331","150","150 - 3.36 - JAH_II_331","147"
"","","","","","100","6","JAH_V_364","150","150 - 3.37 - JAH_V_364","147"
"","","","","","125","5","JAH_V_541","150","150 - 4.14 - JAH_V_541","147"
"","","","","","141","14","JAT_VI_896","150","150 - 5.01 - JAT_VI_896","147"
"656","Torstedlund","Torstedlund: mentioned in 7 stories","56.8071","9.72702","16","1","DS_II_E_2","150","150 - 1.13 - DS_II_E_2","147"
"","","","","","17","1","JAH_VI_248","150","150 - 1.14 - JAH_VI_248","147"
"","","","","","43","1","JAH_I_383","150","150 - 1.40 - JAH_I_383","147"
"","","","","","77","6","JAH_II_271","150","150 - 3.14 - JAH_II_271","147"
"","","","","","79","6","JAH_II_183","150","150 - 3.16 - JAH_II_183","147"
"","","","","","80","6","JAH_V_531","150","150 - 3.17 - JAH_V_531","147"
"","","","","","101","6","JAH_II_141","150","150 - 3.38 - JAH_II_141","147"
"7","Aarestrup","Aarestrup: mentioned in 13 stories","56.8217","9.74733","17","1","JAH_VI_248","150","150 - 1.14 - JAH_VI_248","147"
"","","","","","19","1","DS_III_303","150","150 - 1.16 - DS_III_303","147"
"","","","","","21","1","DS_III_127","150","150 - 1.18 - DS_III_127","147"
"","","","","","26","1","DS_I_553","150","150 - 1.23 - DS_I_553","147"
"","","","","","32","1","JAT_VI_781","150","150 - 1.29 - JAT_VI_781","147"
"","","","","","35","1","DS_III_1589","150","150 - 1.32 - DS_III_1589","147"
"","","","","","56","1","DS_II_C_90","150","150 - 2.09 - DS_II_C_90","147"
"","","","","","84","6","JAH_V_172","150","150 - 3.21 - JAH_V_172","147"
"","","","","","88","6","JAH_I_43","150","150 - 3.25 - JAH_I_43","147"
"","","","","","101","6","JAH_II_141","150","150 - 3.38 - JAH_II_141","147"
"","","","","","122","5","DS_VII_1181","150","150 - 4.11 - DS_VII_1181","147"
"","","","","","124","5","JAH_V_540","150","150 - 4.13 - JAH_V_540","147"
"","","","","","140","5","JAH_V_66","150","150 - 4.29 - JAH_V_66","147"
"102","Buderup","Buderup: mentioned in 1 story","56.8641","9.85582","18","1","DS_VI_139","150","150 - 1.15 - DS_VI_139","147"
"542","Skjørping","Skjørping: mentioned in 5 stories","56.8674","9.8891","18","1","DS_VI_139","150","150 - 1.15 - DS_VI_139","147"
"","","","","","28","1","DS_IV_149","150","150 - 1.25 - DS_IV_149","147"
"","","","","","77","6","JAH_II_271","150","150 - 3.14 - JAH_II_271","147"
"","","","","","677","null","DS_IV_146","496","496 - 0.00 - DS_IV_146","750"
"","","","","","678","null","DS_VII_296","496","496 - 0.00 - DS_VII_296","750"
"631","Teglgården","Teglgården: mentioned in 3 stories","56.8655","9.87323","18","1","DS_VI_139","150","150 - 1.15 - DS_VI_139","147"
"","","","","","63","6","Unpub_BJK_301","150","150 - 3.01 - Unpub_BJK_301","147"
"","","","","","77","6","JAH_II_271","150","150 - 3.14 - JAH_II_271","147"
"49","Bavnhøj","Bavnhøj: mentioned in 3 stories","56.8263","9.75958","19","1","DS_III_303","150","150 - 1.16 - DS_III_303","147"
"","","","","","98","6","JAH_IV_42","150","150 - 3.35 - JAH_IV_42","147"
"","","","","","133","5","DS_I_402","150","150 - 4.22 - DS_I_402","147"
"450","Oplev","Oplev: mentioned in 2 stories","56.8359","9.79926","22","1","JAH_V_505","150","150 - 1.19 - JAH_V_505","147"
"","","","","","77","6","JAH_II_271","150","150 - 3.14 - JAH_II_271","147"
"720","Vokslev","Vokslev: mentioned in 1 story","56.9665","9.68121","23","1","JAH_I_212","150","150 - 1.20 - JAH_I_212","147"
"669","Tveden","Tveden: mentioned in 3 stories","56.8079","9.82411","26","1","DS_I_553","150","150 - 1.23 - DS_I_553","147"
"","","","","","48","1","MA_I_404","150","150 - 2.01 - MA_I_404","147"
"","","","","","73","6","Unpub_BJK_310","150","150 - 3.10 - Unpub_BJK_310","147"
"21","Aldal","Aldal: mentioned in 2 stories","56.8096","9.80168","27","1","DS_II_A_150","150","150 - 1.24 - DS_II_A_150","147"
"","","","","","28","1","DS_IV_149","150","150 - 1.25 - DS_IV_149","147"
"105","Bukkjær","Bukkjær: mentioned in 1 story","56.7941","9.8098","27","1","DS_II_A_150","150","150 - 1.24 - DS_II_A_150","147"
"151","Fåresø","Fåresø: mentioned in 1 story","56.0301","9.70168","27","1","DS_II_A_150","150","150 - 1.24 - DS_II_A_150","147"
"493","Rold skov","Rold skov: mentioned in 4 stories","56.7958","9.8153","27","1","DS_II_A_150","150","150 - 1.24 - DS_II_A_150","147"
"","","","","","29","1","DS_IV_627","150","150 - 1.26 - DS_IV_627","147"
"","","","","","75","6","DS_VI_1270","150","150 - 3.12 - DS_VI_1270","147"
"","","","","","578","null","DS_VI_431","65","65 - 0.00 - DS_VI_431","398"
"608","Stubberup","Stubberup: mentioned in 1 story","56.7131","9.93782","27","1","DS_II_A_150","150","150 - 1.24 - DS_II_A_150","147"
"609","Stubberuphus","Stubberuphus: mentioned in 2 stories","56.8147","9.78501","27","1","DS_II_A_150","150","150 - 1.24 - DS_II_A_150","147"
"","","","","","28","1","DS_IV_149","150","150 - 1.25 - DS_IV_149","147"
"666","Trydsø","Trydsø: mentioned in 1 story","56.7999","9.8183","27","1","DS_II_A_150","150","150 - 1.24 - DS_II_A_150","147"
"136","Egholm slot","Egholm slot: mentioned in 1 story","56.8757","9.86665","28","1","DS_IV_149","150","150 - 1.25 - DS_IV_149","147"
"419","Mylenberg","Mylenberg: mentioned in 2 stories","56.7833","9.83971","29","1","DS_IV_627","150","150 - 1.26 - DS_IV_627","147"
"","","","","","45","1","DS_VI_593","150","150 - 1.42 - DS_VI_593","147"
"429","Nørlund","Nørlund: mentioned in 2 stories","56.7833","9.71547","31","1","Unpub_BJK_128","150","150 - 1.28 - Unpub_BJK_128","147"
"","","","","","99","6","JAH_II_331","150","150 - 3.36 - JAH_II_331","147"
"478","Ravnkilde","Ravnkilde: mentioned in 2 stories","56.7564","9.75634","32","1","JAT_VI_781","150","150 - 1.29 - JAT_VI_781","147"
"","","","","","58","1","DS_VII_447","150","150 - 2.11 - DS_VII_447","147"
"710","Vintønden","Vintønden: mentioned in 1 story","56.7937","9.73942","32","1","JAT_VI_781","150","150 - 1.29 - JAT_VI_781","147"
"172","Freggelund","Freggelund: mentioned in 1 story","56.8134","9.93955","33","1","DS_III_1236","150","150 - 1.30 - DS_III_1236","147"
"398","Madum sø","Madum sø: mentioned in 1 story","56.8064","9.93258","33","1","DS_III_1236","150","150 - 1.30 - DS_III_1236","147"
"213","Gudsø mose","Gudsø mose: mentioned in 1 story","56.784","9.77507","34","1","DS_III_1712","150","150 - 1.31 - DS_III_1712","147"
"430","Nørlund skov","Nørlund skov: mentioned in 1 story","56.783","9.76852","34","1","DS_III_1712","150","150 - 1.31 - DS_III_1712","147"
"489","Røde mølle","Røde mølle: mentioned in 1 story","56.8225","9.80133","36","1","DS_III_1873","150","150 - 1.33 - DS_III_1873","147"
"424","Nibe","Nibe: mentioned in 7 stories","56.9843","9.64058","37","1","Unpub_BJK_134","150","150 - 1.34 - Unpub_BJK_134","147"
"","","","","","48","1","MA_I_404","150","150 - 2.01 - MA_I_404","147"
"","","","","","73","6","Unpub_BJK_310","150","150 - 3.10 - Unpub_BJK_310","147"
"","","","","","86","6","JAH_V_174","150","150 - 3.23 - JAH_V_174","147"
"","","","","","99","6","JAH_II_331","150","150 - 3.36 - JAH_II_331","147"
"","","","","","627","null","DS_IV_1535","409","409 - 0.00 - DS_IV_1535","855"
"","","","","","905","null","JAH_II_254","212","212 - 0.00 - JAH_II_254","828"
"164","Fløø","Fløø: mentioned in 1 story","56.8664","9.7951","38","1","DS_VII_1299","150","150 - 1.35 - DS_VII_1299","147"
"200","Gravlev","Gravlev: mentioned in 5 stories","56.8464","9.81335","38","1","DS_VII_1299","150","150 - 1.35 - DS_VII_1299","147"
"","","","","","54","1","DS_II_C_115","150","150 - 2.07 - DS_II_C_115","147"
"","","","","","55","1","DS_II_C_110","150","150 - 2.08 - DS_II_C_110","147"
"","","","","","73","6","Unpub_BJK_310","150","150 - 3.10 - Unpub_BJK_310","147"
"","","","","","75","6","DS_VI_1270","150","150 - 3.12 - DS_VI_1270","147"
"4","Aalborg","Aalborg: mentioned in 9 stories","57.0502","9.92384","39","1","Unpub_BJK_136","150","150 - 1.36 - Unpub_BJK_136","147"
"","","","","","58","1","DS_VII_447","150","150 - 2.11 - DS_VII_447","147"
"","","","","","103","6","JAH_V_27","150","150 - 3.40 - JAH_V_27","147"
"","","","","","109","6","FK_0_586","150","150 - 3.46 - FK_0_586","147"
